年份,上证指数,中国平安,中证1000,中证500,宁德时代,招商银行,沪深300,深证成指,贵州茅台,长江电力
2006,1.3487,,0.7673,1.0251,,1.7845,1.2523,1.3547,2.9134,0.4519
2007,1.0046,,2.0309,1.8772,,1.4343,1.6328,1.7014,1.6348,1.0314
2008,-0.6471,-0.7456,-0.5919,-0.6061,,-0.6897,-0.6561,-0.6279,-0.5247,-0.2483
2009,0.8349,1.079,1.4044,1.3243,,0.9381,0.9858,1.1417,0.5746,-0.0562
2010,-0.1265,0.0291,0.1764,0.1051,,-0.239,-0.1158,-0.0774,0.0931,-0.1246
2011,-0.2014,-0.3792,-0.3278,-0.3349,,-0.0522,-0.2405,-0.2736,0.1687,-0.1293
2012,0.0518,0.3273,-0.0077,0.0118,,0.2016,0.098,0.0371,0.0983,0.1214
2013,-0.0497,-0.0668,0.325,0.1806,,-0.1523,-0.0533,-0.0964,-0.3656,-0.034
2014,0.5587,0.8214,0.3526,0.4045,,0.6214,0.5585,0.3761,0.6694,0.7671
2015,0.1155,-0.0244,0.7659,0.4385,,0.1248,0.0722,0.1666,0.2881,0.3045
2016,-0.1059,0.0006,-0.1969,-0.1717,,0.018,-0.0926,-0.1847,0.5645,-0.0401
2017,0.0864,1.0146,-0.1689,0.0061,,0.705,0.2425,0.1007,1.1189,0.2917
2018,-0.2312,-0.1748,-0.3628,-0.3254,,-0.1033,-0.2364,-0.3347,-0.1421,0.0594
2019,0.2469,0.5585,0.2698,0.2814,0.4445,0.5314,0.3919,0.4618,1.0347,0.2026
2020,0.1608,0.0465,0.2045,0.2226,2.3048,0.2058,0.2989,0.4075,0.7086,0.0809
2021,0.0684,-0.4,0.2161,0.1724,0.6755,0.1365,-0.0352,0.0417,0.0357,0.2271
2022,-0.1348,-0.0154,-0.2077,-0.1891,-0.3299,-0.2018,-0.1984,-0.2478,-0.1376,-0.0434
2023,-0.0183,-0.0982,-0.0528,-0.059,-0.2481,-0.2121,-0.0914,-0.1228,0.0265,0.1537
2024,0.1485,0.376,0.0279,0.0768,0.6692,0.4977,0.1824,0.1093,-0.0846,0.3001
2025,0.2071,0.3587,0.2902,0.3246,0.4202,0.1176,0.2098,0.3176,-0.0629,-0.05
