date,open,close,high,low,volume,amount,turn,pctChg
2002-04-09,1.8302954800,1.8564176800,1.8947302400,1.8302954800,414108831,4418821513.0000,69.018139,46.027390
2002-04-10,1.8564176800,1.8459688000,1.8633836000,1.8093977200,67945475,716684277.0000,11.324246,-0.562847
2002-04-11,1.8459688000,1.8320369600,1.8599006400,1.8268125200,22788255,240963540.0000,3.798042,-0.754716
2002-04-12,1.8285540000,1.8407443600,1.8529347200,1.8250710400,21256463,224059896.0000,3.542744,0.475278
2002-04-15,1.8407443600,1.8093977200,1.8459688000,1.8024318000,18531104,193306921.0000,3.088517,-1.702927
2002-04-16,1.8024318000,1.7693436800,1.8093977200,1.7658607200,24925491,254942372.0000,4.154248,-2.213672
2002-04-17,1.7676022000,1.7797925600,1.7867584800,1.7571533200,11459339,116550894.0000,1.909890,0.590555
2002-04-18,1.7763096000,1.7623777600,1.7763096000,1.7588948000,8533279,86436774.0000,1.422213,-0.978477
2002-04-19,1.7588948000,1.7658607200,1.7676022000,1.7397385200,15722249,157784095.0000,2.620375,0.197633
2002-04-22,1.7588948000,1.7432214800,1.7588948000,1.7397385200,6593827,66105563.0000,1.098971,-1.282052
2002-04-23,1.7414800000,1.7414800000,1.7571533200,1.7258066800,7376544,73759692.0000,1.229424,-0.099902
2002-04-24,1.7414800000,1.7014259600,1.7414800000,1.6892356000,17241356,169554787.0000,2.873559,-2.299995
2002-04-25,1.6979430000,1.7083918800,1.7153578000,1.6962015200,9960272,97420590.0000,1.660045,0.409416
2002-04-26,1.7101333600,1.7136163200,1.7223237200,1.7066504000,8169213,80382992.0000,1.361536,0.305808
2002-04-29,1.7136163200,1.7153578000,1.7205822400,1.6909770800,9036087,88537531.0000,1.506015,0.101628
2002-04-30,1.7223237200,1.7449629600,1.7676022000,1.7066504000,18262505,182699162.0000,3.043751,1.725889
2002-05-08,1.7414800000,1.7240652000,1.7467044400,1.7205822400,4228358,41990478.0000,0.704726,-1.197613
2002-05-09,1.7223237200,1.7310311200,1.7554118400,1.7205822400,4470394,44552493.0000,0.745066,0.404040
2002-05-10,1.7258066800,1.7083918800,1.7292896400,1.7066504000,4638480,45667174.0000,0.773080,-1.307839
2002-05-13,1.7066504000,1.6753037600,1.7066504000,1.6683378400,12725497,122595409.0000,2.120916,-1.936805
2002-05-14,1.6718208000,1.6509230400,1.6787867200,1.6474400800,8239948,78664998.0000,1.373325,-1.455305
2002-05-15,1.6474400800,1.6178349200,1.6631134000,1.6160934400,9708385,91212164.0000,1.618064,-2.004215
2002-05-16,1.6160934400,1.5934542000,1.6160934400,1.5795223600,19517141,178313622.0000,3.252857,-1.507000
2002-05-17,1.5986786400,1.6108690000,1.6195764000,1.5760394000,10010112,91833344.0000,1.668352,1.092900
2002-05-20,1.5899712400,1.5638490400,1.5986786400,1.5551416400,11297072,101667315.0000,1.882845,-2.918924
2002-05-21,1.5986786400,1.5986786400,1.6108690000,1.5725564400,12608352,115523918.0000,2.101392,2.227180
2002-05-22,1.6004201200,1.5568831200,1.6021616000,1.5516586800,7338358,66043321.0000,1.223060,-2.614387
2002-05-23,1.5586246000,1.5638490400,1.5899712400,1.5568831200,7188925,64749341.0000,1.198154,0.447427
2002-05-24,1.5638490400,1.5446927600,1.5742979200,1.5255364800,10526000,92941498.0000,1.754333,-1.224941
2002-05-27,1.5481757200,1.5516586800,1.5586246000,1.5290194400,5439444,48160843.0000,0.906574,0.450958
2002-05-28,1.5516586800,1.5534001600,1.5655905200,1.5499172000,5607677,50176390.0000,0.934613,0.112236
2002-05-29,1.5534001600,1.5098631600,1.5568831200,1.5011557600,7480150,65398179.0000,1.246692,-2.802691
2002-05-30,1.5081216800,1.5237950000,1.5290194400,1.4837409600,13179829,113645564.0000,2.196638,0.922721
2002-05-31,1.5203120400,1.5150876000,1.5429512800,1.5081216800,4669199,40944136.0000,0.778200,-0.571431
2002-06-03,1.5150876000,1.5150876000,1.5150876000,1.5150876000,0,0.0000,,0.000000
2002-06-04,1.5028972400,1.5429512800,1.5673320000,1.4872239200,21315760,188202674.0000,3.552627,1.839079
2002-06-05,1.6056445600,1.5220535200,1.6056445600,1.5185705600,9149476,80995385.0000,1.524913,-1.354401
2002-06-06,1.5220535200,1.5673320000,1.5812638400,1.5116046400,12530992,112008796.0000,2.088499,2.974831
2002-06-07,1.5690734800,1.5638490400,1.5777808800,1.5499172000,11760656,105772506.0000,1.960109,-0.222227
2002-06-10,1.5638490400,1.5655905200,1.5777808800,1.5551416400,4910142,44206174.0000,0.818357,0.111361
2002-06-11,1.5655905200,1.5568831200,1.5690734800,1.5534001600,2848153,25522714.0000,0.474692,-0.556176
2002-06-12,1.5673320000,1.5446927600,1.5673320000,1.5325024000,3036753,26911353.0000,0.506126,-0.782994
2002-06-13,1.5446927600,1.5255364800,1.5446927600,1.5237950000,2861462,25179530.0000,0.476910,-1.240131
2002-06-14,1.5237950000,1.5116046400,1.5237950000,1.5098631600,2939500,25580232.0000,0.489917,-0.913241
2002-06-17,1.5063802000,1.5081216800,1.5081216800,1.4941898400,3036771,26183428.0000,0.506128,-0.230420
2002-06-18,1.5081216800,1.5342438800,1.5412098000,1.5063802000,5317574,46624766.0000,0.886262,1.732108
2002-06-19,1.5342438800,1.5116046400,1.5359853600,1.5063802000,2774519,24170101.0000,0.462420,-1.475597
2002-06-20,1.5116046400,1.5203120400,1.5377268400,1.5098631600,4108300,36035751.0000,0.684717,0.576028
2002-06-21,1.5237950000,1.5621075600,1.5830053200,1.5185705600,14947363,133912680.0000,2.491227,2.749149
2002-06-24,1.7188407600,1.7188407600,1.7188407600,1.6561474800,95065027,934303729.0000,15.844171,10.033440
2002-06-25,1.7397385200,1.8198466000,1.8895058000,1.7083918800,149514953,1563269915.0000,24.919159,5.876392
2002-06-26,1.8024318000,1.7815340400,1.8459688000,1.7676022000,41963672,436232331.0000,6.993945,-2.105266
2002-06-27,1.7815340400,1.8285540000,1.8459688000,1.7728266400,41442717,431029640.0000,6.907120,2.639301
2002-06-28,1.8302954800,2.0114094000,2.0114094000,1.8302954800,156015369,1785125038.0000,26.002561,10.000000
2002-07-01,2.0375316000,2.0166338400,2.0619123200,1.9852872000,90583632,1050421243.0000,15.097272,0.260000
2002-07-02,2.0114094000,1.9922531200,2.0131508800,1.9469746400,37955268,431511885.0000,6.325878,-1.210000
2002-07-03,1.9852872000,1.9974775600,2.0357901200,1.9696138800,25683720,295008712.0000,4.280620,0.260000
2002-07-04,2.0027020000,1.9347842800,2.0166338400,1.9051791200,41951694,469443695.0000,6.991949,-3.140000
2002-07-05,1.9156280000,1.9678724000,1.9748383200,1.9016961600,33747227,375133047.0000,5.624538,1.710000
2002-07-08,1.9487161200,1.9748383200,2.0375316000,1.9487161200,41931594,482217366.0000,6.988599,0.350000
2002-07-09,1.9765798000,2.0288242000,2.0427560400,1.9765798000,53912874,625233348.0000,8.985479,2.730000
2002-07-10,2.0288242000,1.9696138800,2.0758441600,1.9661309200,103668559,1203566183.0000,15.859818,-2.920000
2002-07-11,1.9539405600,1.9487161200,1.9852872000,1.9417502000,31305363,352569995.0000,4.789276,-1.060000
2002-07-12,1.9487161200,1.9208524400,1.9591650000,1.9121450400,32493660,359020954.0000,4.971069,-1.430000
