date,open,close,high,low,volume,amount,turn,pctChg
1991-04-03,988.0500,988.0500,988.0500,988.0500,100,10000.0000,0.000000,0.000000
1991-04-04,983.1100,983.1100,983.1100,983.1100,52300,761000.0000,0.000000,-0.499975
1991-04-05,978.2700,978.2700,978.2700,978.2700,10700,150000.0000,0.000000,-0.492312
1991-04-08,968.5700,968.5700,968.5700,968.5700,5700,84000.0000,0.000000,-0.498241
1991-04-09,963.7300,963.7300,963.7300,963.7300,1900,39000.0000,0.000000,-0.499708
1991-04-10,958.8800,958.8800,958.8800,958.8800,4500,110000.0000,0.000000,-0.503250
1991-04-11,954.0300,954.0300,954.0300,954.0300,4500,59000.0000,0.000000,-0.505796
1991-04-12,949.3100,949.3100,949.3100,949.3100,6800,113000.0000,0.000000,-0.494747
1991-04-15,939.9800,939.9800,939.9800,939.9800,5000,64000.0000,0.000000,-0.486993
1991-04-16,935.3800,935.3800,935.3800,935.3800,2200,34000.0000,0.000000,-0.489370
1991-04-17,930.7800,930.7800,930.7800,930.7800,2100,30000.0000,0.000000,-0.491776
1991-04-18,926.1800,926.1800,926.1800,926.1800,1400,32000.0000,0.000000,-0.494213
1991-04-19,921.5800,921.5800,921.5800,921.5800,1700,27000.0000,0.000000,-0.496661
1991-04-22,912.3800,912.3800,912.3800,912.3800,100,1000.0000,0.000000,-0.501644
1991-04-23,907.7800,907.7800,907.7800,907.7800,4800,150000.0000,0.000000,-0.504173
1991-04-24,903.3100,903.3100,903.3100,903.3100,4600,109000.0000,0.000000,-0.492414
1991-04-25,898.8400,898.8400,898.8400,898.8400,5000,110000.0000,0.000000,-0.494843
1991-04-26,894.3600,894.3600,894.3600,894.3600,5300,92000.0000,0.000000,-0.498425
1991-04-29,885.4300,885.4300,885.4300,885.4300,4900,72000.0000,0.000000,-0.501188
1991-04-30,880.9800,880.9800,880.9800,880.9800,14200,182000.0000,0.000000,-0.502582
1991-05-02,876.5700,876.5700,876.5700,876.5700,7200,92000.0000,0.000000,-0.500576
1991-05-03,872.1600,872.1600,872.1600,872.1600,7800,103000.0000,0.000000,-0.503101
1991-05-06,863.3500,863.3500,863.3500,863.3500,12400,181000.0000,0.000000,-0.507061
1991-05-07,859.0600,859.0600,859.0600,859.0600,10200,127000.0000,0.000000,-0.496899
1991-05-08,854.7800,854.7800,854.7800,854.7800,30900,697000.0000,0.000000,-0.498215
1991-05-09,850.5000,850.5000,850.5000,850.5000,45000,568000.0000,0.000000,-0.500717
1991-05-10,846.2200,846.2200,846.2200,846.2200,70000,897000.0000,0.000000,-0.503237
1991-05-13,837.6600,837.6600,837.6600,837.6600,155400,1910000.0000,0.000000,-0.508353
1991-05-14,834.4400,835.0100,835.0100,833.3800,316000,3874000.0000,0.000000,-0.316353
1991-05-15,832.3600,832.5400,832.5400,832.3600,395700,5673000.0000,0.000000,-0.295809
1991-05-16,830.0600,830.0600,830.0600,830.0600,591800,8116000.0000,0.000000,-0.297881
1991-05-17,827.7200,827.7200,827.7200,827.7200,901400,11550000.0000,0.000000,-0.281911
